answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,86.0,0.7,neutral,RT @pirminmeyer: Kurz zusammengefasst: Ja zu #USR3 #NAF und zur erleichterten Einbürgerung von Personen der dritten Ausländergeneration. #d…,kurz zusammengefasst ja usr3 naf erleichtern einbürgerung personen dritt ausländergeneration d,,,,,,,,,,,,,,,,"{'Kurz': 0, 'zusammengefasst': 0, 'Ja': 0.12, 'zu': 0.35, 'USR3': 0.09, 'NAF': 0.08, 'und': 0.12, 'zur': 0.33999999999999997, 'erleichterten': 0, 'Einbürgerung': 1.0, 'von': 0, 'Personen': 0, 'der': 0.33, 'dritten': 0.11, 'Ausländergeneration': 0.1325, 'd': 0.04, '…': 0}",positive,"[0.0009632746, 0.0010656805, 0.997971]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @M_Aebischer: #EgaliteSalariale #AufrufLohngleichheit https://t.co/MBZcRF6DuW https://t.co/bBGzipDAig,egalitesalariale aufruflohngleichheit,,,,,,,,,,,,,,,,,,,"{'EgaliteSalariale': 0, 'AufrufLohngleichheit': 0}",positive,"[0.208857, 0.06125412, 0.7298889]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,25.0,28.0,-0.15,neutral,RT @Michael_Koepfli: Der Grosse Rat spricht 1.7 Mio Fr für die Tour de France in Bern. Ich habe abgelehnt. Steuersenkung und Nice-To-Haves…,grosse rat sprechen mio fr tour de france bern ablehnen steuersenkung nice to haves,,,,,,,,,,,,,,,,,,,,,,"{'Der': 0.07, 'Grosse': 0, 'Rat': 0, 'spricht': 0.09, '1.7': 0, 'Mio': 0, 'Fr': 0, 'für': 0.04, 'die': 0.07, 'Tour': 0.18, 'de': 0, 'France': 0.11, 'in': 0.04, 'Bern': 0.09, 'Ich': 0.11, 'habe': 0, 'abgelehnt': 0, 'Steuersenkung': 1.0, 'und': 0.47, 'Nice-To-Haves': 0, '…': 0}",positive,"[0.0005885545, 0.0010729629, 0.99833846]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @Michael_Koepfli: U.a. deshalb habe letzte Woche im Grossen Rat für eine Steuersenkung im Kanton Bern ab 2018 gestimmt.  https://t.co/pA…,u a deshalb letzte woche grossen rat steuersenkung kanton bern ab stimmen,,,,,,,,,,,,,,,,,,,,,,"{'U.a': 0, 'deshalb': 0.7, 'habe': 0, 'letzte': 0.35, 'Woche': 0.25, 'im': 0, 'Grossen': 0, 'Rat': 0, 'für': 0.7, 'eine': 0.06, 'Steuersenkung': 0.755, 'Kanton': 0.11, 'Bern': 0.1, 'ab': 0, 'gestimmt': 0}",neutral,"[0.86121005, 0.026188372, 0.1126015]",,,,,,,,,,,,,,,,,,,positive
0.0,0.0,14.0,-0.7,neutral,RT @glpTG: CO2-Gesetz blockiert CO2-neutrale synthetische Treibstoffe aus erneuerbarer Energie @Cleanfuelnow @Climeworks https://t.co/vo6MG…,co2 gesetz blockieren co2 neutral synthetische treibstoffe erneuerbarer energie,,,,,,,,,,,,,,,,,,,,,,,,,"{'CO2-Gesetz': 0.825, 'blockiert': 0, 'CO2-neutrale': 0, 'synthetische': 0.2, 'Treibstoffe': 0.34, 'aus': 0, 'erneuerbarer': 0.43, 'Energie': 0.27}",neutral,"[0.82299155, 0.06058363, 0.116424814]",,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @glpTG: Kanton Thurgau prüft «Power to Gas» als Speichermöglichkeit von erneuerbarer Energie https://t.co/JPfgEcSUnt @cleanfuelnow,kanton thurgau prüfen power to gas speichermöglichkeit erneuerbarer energie,,,,,,,,,,,,,,,,,,,,,,,,,"{'Kanton': 0.47, 'Thurgau': 0.36, 'prüft': 0, '«': 0, 'Power': 0, 'to': 0, 'Gas': 0, '»': 0, 'als': 0, 'Speichermöglichkeit': 0, 'von': 0, 'erneuerbarer': 0, 'Energie': 0}",positive,"[0.20776492, 0.0194163, 0.7728188]",,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @MarcelSigner: Klar, warum die #SVP nicht auf #erneuerbare #energiewende setzt. #AlbertRösti schützt seine Mandate in #Atom und #Öl http…",klaren warum svp erneuerbare energiewende setzen albertrösti schützen mandate atom öl http,,,,,,,,,,,,,,,,,,,,,,,,,"{'Klar': 0, 'warum': 0.06, 'die': 0.03, 'SVP': 0, 'nicht': 0.03, 'auf': 0.02, 'erneuerbare': 0.04, 'energiewende': 0, 'setzt': 0, 'AlbertRösti': 0, 'schützt': 0.07, 'seine': 0.03, 'Mandate': 0, 'in': 0.07, 'Atom': 0.04, 'und': 0.09, 'Öl': 0.08, 'http': 1.0, '…': 0}",neutral,"[0.5219955, 0.07412692, 0.40387762]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @energienetwork: Weltweit Rekordinvestitionen in Erneuerbare Energien https://t.co/eRpuHDX2Qz,weltweit rekordinvestitionen erneuerbare energien,,,,,,,,,,,,,,,,,,,,,,,,,"{'Weltweit': 1.0, 'Rekordinvestitionen': 0.62, 'in': 0.45, 'Erneuerbare': 0.61, 'Energien': 1.0}",positive,"[0.005389899, 0.0035734812, 0.99103665]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @glpTG: Aus den Thurgauer Steckdosen soll standardmässig Strom aus erneuerbaren Energien fliessen, in der Schweiz produziert https://t.c…",thurgauer steckdosen standardmässig strom erneuerbaren energien fliessen schweiz produzieren,,,,,,,,,,,,,,,,,,,,,,,,,"{'Aus': 0, 'den': 0.05, 'Thurgauer': 0.12, 'Steckdosen': 0.07, 'soll': 0, 'standardmässig': 0, 'Strom': 0, 'aus': 0, 'erneuerbaren': 0.25, 'Energien': 0.17, 'fliessen': 0.11, 'in': 0.08, 'der': 0.05, 'Schweiz': 0.22, 'produziert': 0.17}",neutral,"[0.7128919, 0.12762614, 0.159482]",,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,negative,RT @glpTG: Verdoppelung von Erneuerbaren Energien: Einsparungen 15mal höher als die Kosten https://t.co/RL5wW5FZpT via @energyloadEU,verdoppelung erneuerbaren energien einsparungen 15mal hoch kosten via,,,,,,,,,,,,,,,,,,,,,,,,,"{'Verdoppelung': 1.0, 'von': 0, 'Erneuerbaren': 0, 'Energien': 0.3, 'Einsparungen': 0.25, '15mal': 0, 'höher': 0.24, 'als': 0, 'die': 0.1, 'Kosten': 0.27, 'via': 0.15}",negative,"[0.045889705, 0.9345142, 0.019596078]",,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @glpTG: Thurgau will erneuerbare Energien fördern, trotz Widerstand von FDP und SVP! https://t.co/TP2fP2eHaz",thurgau erneuerbare energien fördern trotzen widerstehen fdp svp,,,,,,,,,,,,,,,,,,,,,,,,,"{'Thurgau': 0.2, 'will': 0, 'erneuerbare': 1.0, 'Energien': 0.64, 'fördern': 0, 'trotz': 0, 'Widerstand': 0.37, 'von': 0.13, 'FDP': 0.14, 'und': 0.07, 'SVP': 0}",positive,"[0.0025505736, 0.0016972343, 0.9957522]",,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,negative,RT @uelifisch: #Grossrat #Thurgau SVP u. FDP wehren sich gegen Basisangebot aus erneuerbaren Energien! Und behaupten nicht gegen erneuerbar…,grossrat thurgau svp u fdp wehren basisangebot erneuerbaren energien behaupten erneuerbar,,,,,,,,,,,,,,,,,,,,,,,,,"{'Grossrat': 0, 'Thurgau': 0.03, 'SVP': 0, 'u.': 0, 'FDP': 0.03, 'wehren': 0, 'sich': 0, 'gegen': 1.0, 'Basisangebot': 0.085, 'aus': 0, 'erneuerbaren': 0.74, 'Energien': 0.06, 'Und': 0.05, 'behaupten': 0, 'nicht': 0, 'erneuerbar': 0.74, '…': 0}",neutral,"[0.69037926, 0.05745113, 0.25216955]",,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,"RT @swissolar_d: ""grosse Verschiebungen hin zu erneuerbaren Energien in der Finanzwelt"", so Matthias Fawer an der #PVTagung2016 @VescoreAM",grosse verschiebungen erneuerbaren energien finanzwelt matthias fawer pvtagung2016,,,,,,,,,,,,,,,,,,,,,,,,,"{'grosse': 0, 'Verschiebungen': 1.0, 'hin': 0, 'zu': 0, 'erneuerbaren': 0.29, 'Energien': 0.15, 'in': 0.11, 'der': 0.03, 'Finanzwelt': 0.085, 'so': 0, 'Matthias': 0.05, 'Fawer': 0.06, 'an': 0, 'PVTagung2016': 0.19}",positive,"[0.1978485, 0.2418374, 0.5603141]",,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,negative,RT @beatflach: #Auslandschweizer sind uns wichtig!Ihr Stimm- und Wahlrecht muss gesichert sein. E-Voting ist aber sicherheitstechnisch umst…,auslandschweizer wichtig stimm wahlrecht sichern e voting sicherheitstechnisch umst,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Auslandschweizer': 0.015, 'sind': 0.02, 'uns': 0.01, 'wichtig': 0.03, 'Ihr': 0, 'Stimm-': 0, 'und': 0, 'Wahlrecht': 0, 'muss': 1.0, 'gesichert': 0, 'sein': 0, 'E-Voting': 0, 'ist': 0.17, 'aber': 0, 'sicherheitstechnisch': 0, 'umst': 0, '…': 0}",negative,"[0.1297969, 0.8451397, 0.02506341]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @nanootv: 10 Tipps, wie Schulleiter und Lehrer um die Digitalisierung herumkommen https://t.co/ktGMgSxAK8",tipps schulleiter lehrer digitalisierung herumkommen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Tipps': 0.34, 'wie': 0.31, 'Schulleiter': 0, 'und': 0.11, 'Lehrer': 0, 'um': 0, 'die': 0, 'Digitalisierung': 0, 'herumkommen': 0}",negative,"[0.14188695, 0.72046006, 0.13765305]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @glpTG: Digitalisierung: Durch geschickte Vermittlung aus «Stehzeugen» Fahrzeuge machen https://t.co/k8cFfABjga via @NZZ,digitalisierung geschickt vermittlung stehzeugen fahrzeuge via,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Digitalisierung': 0, 'Durch': 0, 'geschickte': 0, 'Vermittlung': 0, 'aus': 0, '«': 0, 'Stehzeugen': 0, '»': 0, 'Fahrzeuge': 0, 'machen': 0, 'via': 0}",neutral,"[0.65056336, 0.31763038, 0.031806253]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @AEE_SUISSE: Dänemark zeigt wie es geht. Erneuerbar, gekoppelt mit viel Intelligenz #Digitalisierung #ES2050  https://t.co/YxiDdqHCjk",dänemark zeigen gehen erneuerbar koppeln intelligenz digitalisierung es2050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Dänemark': 0.08, 'zeigt': 0, 'wie': 0.03, 'es': 0, 'geht': 0, 'Erneuerbar': 0.09, 'gekoppelt': 0.14, 'mit': 0.07, 'viel': 0.13, 'Intelligenz': 0.4, 'Digitalisierung': 0, 'ES2050': 0.29}",positive,"[0.010254839, 0.0039841225, 0.9857611]",,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,neutral,"RT @bibliothekenZH: Cinématheque Suisse habe Digitalisierung und Massnahmen für Langzeitarchivierung verschlafen, meint @Wochenzeitung http…",cinématheque suisse digitalisierung massnahmen langzeitarchivierung verschlafen http,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Cinématheque': 0.41, 'Suisse': 0.95, 'habe': 0, 'Digitalisierung': 0, 'und': 0.3, 'Massnahmen': 0.58, 'für': 0.22, 'Langzeitarchivierung': 0.15, 'verschlafen': 0, 'meint': 0, 'http': 0.37, '…': 0}",negative,"[0.037592836, 0.89263356, 0.0697736]",,,,,,,,,,negative
100.0,100.0,100.0,1.0,neutral,Coca-Cola verabschiedet sich von Mehrwegflaschen. Verteidigen wir den Umweltschutz vor dem Getränkeriesen! https://t.co/SuVhWWrlcM,coca cola verabschieden mehrwegflaschen verteidigen umweltschutz getränkeriesen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Coca-Cola': 0, 'verabschiedet': 0, 'sich': 0, 'von': 0.51, 'Mehrwegflaschen': 0.185, 'Verteidigen': 1.0, 'wir': 0, 'den': 0.19, 'Umweltschutz': 0.825, 'vor': 0, 'dem': 0.14500000000000002, 'Getränkeriesen': 0.22}",positive,"[0.0063767354, 0.0060429187, 0.9875803]",,,,,,,positive
0.0,0.0,0.0,-1.0,negative,RT @WWF_Schweiz: Kahlschlag bei Entwicklungshilfe: Kein Sparen auf dem Buckel der Ärmsten #weckruf https://t.co/gbjUac4gbP,kahlschlag entwicklungshilfe sparen buckel arm weckruf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Kahlschlag': 0.26, 'bei': 0, 'Entwicklungshilfe': 0.28, 'Kein': 0.77, 'Sparen': 0, 'auf': 0.11, 'dem': 0.09, 'Buckel': 0, 'der': 0.09, 'Ärmsten': 0, 'weckruf': 0.1225}",negative,"[0.2925272, 0.48906994, 0.21840286]",,,,negative
50.0,75.0,57.0,0.0,neutral,RT @joergmaeder: #DVglpCH @kathrinbertschy: Es braucht nicht mehr Subventionen in der Landwirtschaft sondern einen gezielteren Einsatz. htt…,dvglpch brauchen mehr subventionen landwirtschaft gezielt einsatz htt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'DVglpCH': 0.36, 'Es': 0, 'braucht': 0, 'nicht': 0.93, 'mehr': 0.27, 'Subventionen': 0.9, 'in': 0, 'der': 0, 'Landwirtschaft': 1.0, 'sondern': 0.56, 'einen': 0, 'gezielteren': 0.25, 'Einsatz': 0, 'htt': 0.16, '…': 0}",positive,"[0.016929884, 0.0032982312, 0.9797719]",neutral
50.0,75.0,57.0,0.0,neutral,"RT @glpTG: NR @kathrinbertschy präsentiert ""Grundsätze grünliberaler Landwirtschaftspolitik"" #DVglpCH https://t.co/PlMsQMfA9C",nr präsentieren grundsätze grünliberaler landwirtschaftspolitik dvglpch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'NR': 0, 'präsentiert': 0.46, 'Grundsätze': 0.65, 'grünliberaler': 0.675, 'Landwirtschaftspolitik': 1.0, 'DVglpCH': 0.69}",positive,"[0.012168741, 0.0030271579, 0.98480415]",neutral
0.0,0.0,14.0,-0.7,negative,"RT @grunliberale: Bericht Bundesrat zum Vorstoss @kathrinbertschy: Landwirtschaft verfehlt Umweltziele – trotz Milliardenzahlungen
 https:/…",bericht bundesrat vorstoss landwirtschaft verfehlen umweltziele trotzen milliardenzahlungen https,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Bericht': 0, 'Bundesrat': 0.1, 'zum': 0.1, 'Vorstoss': 0, 'Landwirtschaft': 0.57, 'verfehlt': 0, 'Umweltziele': 0.09, '–': 0, 'trotz': 0, 'Milliardenzahlungen': 0, 'https': 0, ':/': 0, '…': 0}",negative,"[0.25398746, 0.62623435, 0.11977817]",negative
50.0,75.0,57.0,0.0,neutral,RT @filmefurdieerde: Film-Tipp fürs Wochenende: Cowspiracy! Die Viehzucht und Landwirtschaft als Klimasünder #1? Hier als VoD anschauen: ht…,film tipp fürs wochenende cowspiracy viehzucht landwirtschaft klimasünder vod anschauen ht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Film-Tipp': 0.12, 'fürs': 0.07, 'Wochenende': 0.09, 'Cowspiracy': 0.4, 'Die': 0.05, 'Viehzucht': 0.95, 'und': 1.0, 'Landwirtschaft': 0.79, 'als': 0.11, 'Klimasünder': 0.16999999999999998, 'Hier': 0.07, 'VoD': 0.12, 'anschauen': 0, 'ht': 0.08, '…': 0}",positive,"[0.1469898, 0.0077295634, 0.84528065]",neutral
50.0,75.0,57.0,0.0,neutral,RT @energienetwork: Landwirtschaft: John Deere stellt Elektro-Traktor vor https://t.co/FKMg57Rru7 via @ecomento_tv,landwirtschaft john deere stellen elektro traktor via,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Landwirtschaft': 0.8, 'John': 0.34, 'Deere': 0.34, 'stellt': 0, 'Elektro-Traktor': 0.17, 'vor': 0, 'via': 0.26}",neutral,"[0.88034004, 0.018956674, 0.10070327]",neutral
50.0,75.0,57.0,0.0,neutral,"RT @Michael_Koepfli: Anders gesagt: Sobald es um die Landwirtschaft geht, rufen @SVPch und @chbauernverband nach Staat &amp; Planwirtschaft. ht…",sagen sobald landwirtschaft gehen rufen staat amp planwirtschaft ht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Anders': 0, 'gesagt': 0, 'Sobald': 0.24000000000000002, 'es': 0, 'um': 0, 'die': 0, 'Landwirtschaft': 0.85, 'geht': 0, 'rufen': 0.46, 'und': 0.15, 'nach': 0, 'Staat': 0.11, 'amp': 0.05, 'Planwirtschaft': 0.175, 'ht': 0.07, '…': 0}",positive,"[0.04720223, 0.0022651684, 0.9505326]",neutral
