answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3469,absa_sentiment_3469,absa_scores_3469,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @CVP_BL: Bundesrätin, Frau @Violapamherd  informiert live, weshalb wir die Vorlage über die Beschaffung neuer Kampfflugzeuge am 27. Sept…",bundesrätin frau informieren live weshalb vorlage beschaffung neu kampfflugzeuge sept,,,,,,,,,,,,,"{'Bundesrätin': 0.08499999999999999, 'Frau': 0, 'informiert': 0, 'live': 0.06, 'weshalb': 0.13, 'wir': 0, 'die': 0.17, 'Vorlage': 0, 'über': 0, 'Beschaffung': 0.84, 'neuer': 0, 'Kampfflugzeuge': 0, 'am': 0, '27.': 0, 'Sept': 0.08, '…': 0}",neutral,"[0.92412686, 0.051822383, 0.024050776]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @CVP_PDC: Die Schweiz 🇨🇭 muss für alle Eventualitäten gewappnet sein – dazu gehören auch einsatzfähige Kampfflugzeuge. Denken wir heute…,schweiz all eventualitäten wappnen gehören einsatzfähige kampfflugzeuge denken heute,,,,,,,,,,,,,"{'Die': 0, 'Schweiz': 0.09, '🇨': 0, '🇭': 0, 'muss': 0, 'für': 0, 'alle': 0, 'Eventualitäten': 0, 'gewappnet': 0, 'sein': 0, '–': 0, 'dazu': 0, 'gehören': 0, 'auch': 0, 'einsatzfähige': 0, 'Kampfflugzeuge': 0, 'Denken': 0, 'wir': 0, 'heute': 0, '…': 0}",neutral,"[0.83020294, 0.009635419, 0.16016164]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @Zoller_Matthias: Das Referendum gegen die Beschaffung neuer Kampfflugzeuge ist zustande gekommen. Wir werden nun definitiv am 27.09. an…,referendum beschaffung neu kampfflugzeuge zustande kommen definitiv,,,,,,,,,,,,,"{'Das': 0.05, 'Referendum': 0.3, 'gegen': 0.19, 'die': 0.05, 'Beschaffung': 0.51, 'neuer': 0, 'Kampfflugzeuge': 0, 'ist': 0, 'zustande': 0, 'gekommen': 0.1, 'Wir': 0.07, 'werden': 0.06, 'nun': 0, 'definitiv': 0, 'am': 0, '27.09.': 0, 'an': 0, '…': 0}",neutral,"[0.60173094, 0.03716383, 0.36110532]",,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @CVP_PDC: Die #CVP begrüsst den Planungsbeschluss zur Beschaffung neuer #Kampfflugzeuge. Mit dem heutigen Entscheid des Ständerates komm…,cvp begrüsst planungsbeschluss beschaffung neu kampfflugzeuge heutig entscheid ständerates komm,,,,,,,,,,,,,"{'Die': 0.04, 'CVP': 0.09, 'begrüsst': 0, 'den': 0.04, 'Planungsbeschluss': 0.26, 'zur': 0.15, 'Beschaffung': 0, 'neuer': 0, 'Kampfflugzeuge': 0, 'Mit': 0.04, 'dem': 0.15, 'heutigen': 0.06, 'Entscheid': 0.11, 'des': 0, 'Ständerates': 0.0825, 'komm': 0.07, '…': 0}",positive,"[0.46193522, 0.022702845, 0.515362]",,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,RT @CVP_PDC: Die Chancen der #Digitalisierung müssen auch im Gesundheitswesen aktiv genutzt werden. 👨🏽‍💻👩🏽‍⚕️ Sie bringt Effizienzsteigerun…,chancen digitalisierung müssen gesundheitswesen aktiv nutzen bringen effizienzsteigerun,,,,,,,,,,,,,,,,"{'Die': 0.07, 'Chancen': 0.06, 'der': 0.07, 'Digitalisierung': 0, 'müssen': 0, 'auch': 0.1, 'im': 0, 'Gesundheitswesen': 0.07, 'aktiv': 0, 'genutzt': 0.09, 'werden': 0, '\u200d\u200d️': 0, 'Sie': 0, 'bringt': 0, 'Effizienzsteigerun': 0, '…': 0}",positive,"[0.015095212, 0.0062045786, 0.9787002]",,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @BR_Sprecher: #BREntscheid Der Bundesrat hat seine Ziele 2019-23 festgelegt und setzt Digitalisierung, Klimaschutz und geregelte Beziehu…",brentscheid bundesrat ziele festlegen setzen digitalisierung klimaschutz geregelt beziehu,,,,,,,,,,,,,,,,"{'BREntscheid': 0.15, 'Der': 0.12, 'Bundesrat': 0.18, 'hat': 0, 'seine': 0, 'Ziele': 0.37, '2019': 0, '23': 0, 'festgelegt': 0.15, 'und': 0.13, 'setzt': 0, 'Digitalisierung': 0, 'Klimaschutz': 0.16, 'geregelte': 0.25, 'Beziehu': 0, '…': 0}",positive,"[0.03175439, 0.0033255247, 0.9649201]",,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Digitalisierung im Prattler Einwohnerrat dank der CVP endlich einen Schritt vorwärts! #TeamOrange #CVP #Pratteln
https://t.co/d95UoUSCzj",digitalisierung prattler einwohnerrat danken cvp endlich schritt vorwärts teamorange cvp pratteln,,,,,,,,,,,,,,,,"{'Digitalisierung': 0, 'im': 0, 'Prattler': 0.15, 'Einwohnerrat': 0.09, 'dank': 0.18, 'der': 0.1, 'CVP': 0.05, 'endlich': 0, 'einen': 0, 'Schritt': 0.1, 'vorwärts': 0.07, 'TeamOrange': 0.14, 'Pratteln': 0.12}",positive,"[0.045726918, 0.016119774, 0.93815327]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @Thomas_Egger_NR: Die Idee der @CVP_PDC für ein Impulsprogramm #Digitalisierung in der Bildung zeigt Wirkung. Die WBK-N hat nun ihrersei…,idee impulsprogramm digitalisierung bildung zeigen wirkung wbk n ihrersei,,,,,,,,,,,,,,,,"{'Die': 0.06, 'Idee': 0, 'der': 0.06, 'für': 0.37, 'ein': 0, 'Impulsprogramm': 0, 'Digitalisierung': 1.0, 'in': 0.13, 'Bildung': 0.17, 'zeigt': 0, 'Wirkung': 0, 'WBK-N': 0, 'hat': 0, 'nun': 0, 'ihrersei': 0, '…': 0}",positive,"[0.045173224, 0.010375644, 0.9444511]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @CVP_PDC: Die #CVP fordert ein nationales Impulsprogramm für die #Digitalisierung an den #Schulen: https://t.co/5sNtkGLxap Hier der Frak…,cvp fordern national impulsprogramm digitalisierung schulen frak,,,,,,,,,,,,,,,,"{'Die': 0.07, 'CVP': 0.19, 'fordert': 0.33, 'ein': 0, 'nationales': 0.43, 'Impulsprogramm': 0, 'für': 0.3, 'die': 0.07, 'Digitalisierung': 0, 'an': 0, 'den': 0.07, 'Schulen': 0.32, 'Hier': 0.1, 'der': 0.07, 'Frak': 0, '…': 0}",neutral,"[0.7010758, 0.0545215, 0.24440275]",,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @DieJungeMitteCH: Zusammen mit anderen Jungparteien setzen wir uns für das #Freihandelsabkommen mit #Indonesien ein. Es sichert uns eine…,zusammen jungparteien setzen freihandelsabkommen indonesien sichern,,,,,,,,,,,,,,,,,,,"{'Zusammen': 0.09, 'mit': 0.04, 'anderen': 0, 'Jungparteien': 0.08499999999999999, 'setzen': 0, 'wir': 0, 'uns': 0.42, 'für': 0, 'das': 0, 'Freihandelsabkommen': 0, 'Indonesien': 0.11, 'ein': 0, 'Es': 0, 'sichert': 0, 'eine': 0, '…': 0}",positive,"[0.009642222, 0.0062618945, 0.9840958]",,,,positive
0.0,0.0,0.0,-1.0,negative,"RT @sbinein: Die #SBI schadet auch dem Forschung- und Bildungsplatz #Schweiz. Positionsbezug von @CH_universities #sbinein
https://t.co/TSm…",sbi schaden forschung bildungsplatz schweiz positionsbezug sbinein,,,,,,,,,,,,,,,,,,,,,,"{'Die': 0.35, 'SBI': 0.36, 'schadet': 1.0, 'auch': 0.47, 'dem': 0.35, 'Forschung-': 0, 'und': 0.13, 'Bildungsplatz': 0, 'Schweiz': 0.17, 'Positionsbezug': 0.11, 'von': 0.11, 'sbinein': 0.29}",negative,"[0.14712362, 0.5380423, 0.31483403]",negative
